T1	B-Protein	0	14	Retinoblastoma	Retinoblastoma	B-NP	NN	B-protein	3	NMOD	B-protein
T19	B-Entity	201	204	HLA	HLA	I-NP	NN	B-DNA	17	NMOD	B-DNA
T19	I-Entity	205	210	class	class	I-NP	NN	I-DNA	17	NMOD	I-DNA
T19	I-Entity	211	213	II	II	B-NP	CD	I-DNA	17	NMOD	I-DNA
T19	I-Entity	214	219	genes	gene	I-NP	NNS	I-DNA	12	OBJ	I-DNA
O	O	220	222	in	in	B-PP	IN	O	12	VMOD	O
O	O	223	231	response	response	B-NP	NN	O	18	PMOD	O
O	O	232	234	to	to	B-PP	TO	O	19	NMOD	O
T5	B-Protein	235	238	IFN	IFN	B-NP	NN	B-protein	24	NMOD	B-protein
T5	I-Protein	238	239	-	-	O	HYPH	O	24	NMOD	O
T5	I-Protein	239	244	gamma	gamma	O	SYM	O	24	NMOD	O
O	O	245	254	treatment	treatment	B-NP	NN	O	20	PMOD	O
O	O	254	255	,	,	O	,	O	31	P	O
O	O	256	259	and	and	O	CC	O	27	NMOD	O
O	O	260	274	reconstitution	reconstitution	B-NP	NN	O	31	SUB	O
O	O	275	277	of	of	B-PP	IN	O	27	NMOD	O
O	O	278	288	functional	functional	B-NP	JJ	O	30	NMOD	O
T6	B-Protein	289	291	Rb	Rb	I-NP	NN	B-protein	28	PMOD	B-protein
O	O	292	299	rescues	rescue	B-VP	VBZ	O	0	ROOT	O
T7	B-Protein	300	303	IFN	IFN	B-NP	NN	B-protein	34	NMOD	B-protein
T7	I-Protein	303	304	-	-	O	HYPH	I-protein	34	P	I-protein
T7	I-Protein	304	309	gamma	gamma	O	SYM	I-protein	40	NMOD	I-protein
O	O	309	310	-	-	O	HYPH	O	34	P	O
O	O	310	317	induced	induce	B-NP	VBN	O	40	NMOD	O
T20	B-Entity	318	323	class	class	I-NP	NN	B-DNA	40	NMOD	B-DNA
T20	I-Entity	324	326	II	II	I-NP	CD	I-DNA	40	NMOD	I-DNA
T20	I-Entity	327	331	gene	gene	I-NP	NN	I-DNA	40	NMOD	I-DNA
O	O	332	342	expression	expression	I-NP	NN	O	31	OBJ	O
O	O	342	343	.	.	O	.	O	31	P	O

O	O	344	351	However	However	B-ADVP	RB	O	14	VMOD	O
O	O	351	352	,	,	O	,	O	14	P	O
O	O	353	356	the	the	B-NP	DT	O	5	NMOD	O
O	O	357	366	molecular	molecular	I-NP	JJ	O	5	NMOD	O
O	O	367	376	mechanism	mechanism	I-NP	NN	O	14	SUB	O
O	O	377	379	of	of	B-PP	IN	O	5	NMOD	O
T8	B-Protein	380	382	Rb	Rb	B-NP	NN	B-protein	8	NMOD	B-protein
O	O	383	389	rescue	rescue	I-NP	NN	O	6	PMOD	O
O	O	390	392	of	of	B-PP	IN	O	8	NMOD	O
O	O	393	396	the	the	B-NP	DT	O	13	NMOD	O
T21	B-Entity	397	402	class	class	I-NP	NN	B-DNA	13	NMOD	B-DNA
T21	I-Entity	403	405	II	II	I-NP	CD	I-DNA	13	NMOD	I-DNA
T21	I-Entity	406	411	genes	gene	I-NP	NNS	I-DNA	9	PMOD	I-DNA
O	O	412	414	is	be	B-VP	VBZ	O	0	ROOT	O
O	O	415	422	unknown	unknown	B-ADJP	JJ	O	14	PRD	O
O	O	422	423	.	.	O	.	O	14	P	O

O	O	424	426	We	We	B-NP	PRP	O	2	SUB	O
O	O	427	431	have	have	B-VP	VBP	O	0	ROOT	O
O	O	432	440	examined	examine	I-VP	VBN	O	2	VC	O
O	O	441	444	the	the	B-NP	DT	O	5	NMOD	O
O	O	445	451	effect	effect	I-NP	NN	O	24	NMOD	O
O	O	452	454	of	of	B-PP	IN	O	5	NMOD	O
T9	B-Protein	455	457	Rb	Rb	B-NP	NN	B-protein	8	NMOD	B-protein
O	O	458	468	expression	expression	I-NP	NN	O	6	PMOD	O
O	O	469	471	on	on	B-PP	IN	O	5	NMOD	O
O	O	472	475	the	the	B-NP	DT	O	11	NMOD	O
O	O	476	486	activation	activation	I-NP	NN	O	9	PMOD	O
O	O	487	489	of	of	B-PP	IN	O	11	NMOD	O
O	O	490	493	the	the	B-NP	DT	O	14	NMOD	O
O	O	494	502	promoter	promoter	I-NP	NN	B-DNA	12	PMOD	B-DNA
O	O	503	506	for	for	B-PP	IN	O	11	NMOD	O
T22	B-Entity	507	510	HLA	HLA	B-NP	NN	B-protein	18	NMOD	B-protein
T22	I-Entity	510	511	-	-	I-NP	HYPH	O	18	NMOD	O
T22	I-Entity	511	514	DRA	DRA	I-NP	NN	B-DNA	15	PMOD	B-DNA
O	O	514	515	,	,	O	,	O	24	P	O
O	O	516	519	the	the	B-NP	DT	O	24	NMOD	O
T23	B-Entity	520	529	prototype	prototype	I-NP	NN	B-DNA	24	NMOD	B-DNA
T23	I-Entity	530	535	class	class	I-NP	NN	I-DNA	24	NMOD	I-DNA
T23	I-Entity	536	538	II	II	I-NP	CD	I-DNA	24	NMOD	I-DNA
T23	I-Entity	539	543	gene	gene	I-NP	NN	I-DNA	3	OBJ	I-DNA
O	O	543	544	.	.	O	.	O	2	P	O

T10	B-Protein	545	548	Oct	Oct	B-NP	NN	B-protein	9	NMOD	B-protein
T10	I-Protein	548	549	-	-	B-NP	HYPH	I-protein	1	P	I-protein
T10	I-Protein	549	550	1	1	I-NP	CD	I-protein	1	NMOD	I-protein
O	O	550	551	,	,	O	,	O	9	P	O
O	O	552	553	a	a	B-NP	DT	O	9	NMOD	O
O	O	554	557	POU	POU	I-NP	NN	B-protein	9	NMOD	B-protein
O	O	558	564	domain	domain	I-NP	NN	I-protein	9	NMOD	I-protein
O	O	565	578	transcription	transcription	I-NP	NN	I-protein	9	NMOD	I-protein
O	O	579	585	factor	factor	I-NP	NN	I-protein	11	SUB	I-protein
O	O	585	586	,	,	O	,	O	9	P	O
O	O	587	590	was	be	B-VP	VBD	O	0	ROOT	O
O	O	591	601	identified	identify	I-VP	VBN	O	11	VC	O
O	O	602	604	as	as	B-PP	IN	O	12	VMOD	O
O	O	605	606	a	a	B-NP	DT	O	15	NMOD	O
O	O	607	616	repressor	repressor	I-NP	NN	O	13	PMOD	O
O	O	617	619	of	of	B-PP	IN	O	15	NMOD	O
T24	B-Entity	620	623	HLA	HLA	B-NP	NN	B-protein	21	NMOD	B-protein
T24	I-Entity	623	624	-	-	I-NP	HYPH	O	21	P	O
T24	I-Entity	624	627	DRA	DRA	I-NP	NN	B-DNA	21	NMOD	B-DNA
T24	I-Entity	628	636	promoter	promoter	I-NP	NN	I-DNA	21	NMOD	I-DNA
O	O	637	645	activity	activity	I-NP	NN	O	16	PMOD	O
O	O	646	648	in	in	B-PP	IN	O	15	NMOD	O
O	O	649	652	the	the	B-NP	DT	O	27	NMOD	O
T11	B-Protein	653	655	Rb	Rb	I-NP	NN	B-protein	27	NMOD	B-protein
O	O	655	656	-	-	B-NP	HYPH	O	27	NMOD	O
O	O	656	665	defective	defective	I-NP	JJ	B-cell_type	27	NMOD	B-cell_type
O	O	666	671	cells	cell	I-NP	NNS	I-cell_type	22	PMOD	I-cell_type
O	O	671	672	.	.	O	.	O	11	P	O

T12	B-Protein	673	675	Rb	Rb	B-NP	NN	B-protein	2	NMOD	B-protein
O	O	676	686	expression	expression	I-NP	NN	O	3	SUB	O
O	O	687	690	led	lead	B-VP	VBD	O	0	ROOT	O
O	O	691	693	to	to	B-PP	TO	O	3	VMOD	O
O	O	694	709	phosphorylation	phosphorylation	B-NP	NN	O	4	PMOD	O
O	O	710	712	of	of	B-PP	IN	O	5	NMOD	O
T13	B-Protein	713	716	Oct	Oct	B-NP	NN	B-protein	8	NMOD	B-protein
T13	I-Protein	716	717	-	-	B-NP	HYPH	I-protein	6	PMOD	I-protein
T13	I-Protein	717	718	1	1	I-NP	CD	I-protein	8	NMOD	I-protein
O	O	718	719	,	,	O	,	O	3	P	O
O	O	720	724	thus	thus	B-ADVP	RB	O	3	VMOD	O
O	O	725	734	relieving	relieve	B-VP	VBG	O	3	VMOD	O
O	O	735	738	its	its	B-NP	PRP$	O	15	NMOD	O
O	O	739	749	repressive	repressive	I-NP	JJ	O	15	NMOD	O
O	O	750	756	effect	effect	I-NP	NN	O	12	OBJ	O
O	O	756	757	.	.	O	.	O	3	P	O

T14	B-Protein	758	761	Oct	Oct	B-NP	NN	B-protein	4	SUB	B-protein
T14	I-Protein	761	762	-	-	B-NP	HYPH	I-protein	1	P	I-protein
T14	I-Protein	762	763	1	1	I-NP	CD	I-protein	1	NMOD	I-protein
O	O	764	767	has	have	B-VP	VBZ	O	0	ROOT	O
O	O	768	772	also	also	I-VP	RB	O	4	VMOD	O
O	O	773	777	been	be	I-VP	VBN	O	4	VC	O
O	O	778	783	shown	show	I-VP	VBN	O	6	VC	O
O	O	784	786	to	to	I-VP	TO	O	9	VMOD	O
O	O	787	794	repress	repress	I-VP	VB	O	7	VMOD	O
T15	B-Protein	795	806	interleukin	interleukin	B-NP	NN	B-DNA	13	NMOD	B-DNA
T15	I-Protein	807	808	8	8	I-NP	CD	I-DNA	13	NMOD	I-DNA
T25	B-Entity	809	817	promoter	promoter	I-NP	NN	I-DNA	13	NMOD	I-DNA
O	O	818	826	activity	activity	I-NP	NN	O	9	OBJ	O
O	O	826	827	.	.	O	.	O	4	P	O

O	O	828	838	Consistent	Consistent	B-ADJP	JJ	O	23	SUB	O
O	O	839	843	with	with	B-PP	IN	O	1	AMOD	O
O	O	844	851	reduced	reduce	B-NP	VBN	O	4	NMOD	O
O	O	852	858	levels	level	I-NP	NNS	O	2	PMOD	O
O	O	859	861	of	of	B-PP	IN	O	4	NMOD	O
T16	B-Protein	862	865	Oct	Oct	B-NP	NN	B-protein	9	NMOD	B-protein
T16	I-Protein	865	866	-	-	B-NP	HYPH	I-protein	9	P	I-protein
T16	I-Protein	866	867	1	1	I-NP	CD	I-protein	9	AMOD	I-protein
O	O	868	871	DNA	DNA	I-NP	NN	O	11	NMOD	O
O	O	872	879	binding	binding	I-NP	NN	O	11	NMOD	O
O	O	880	888	activity	activity	I-NP	NN	O	5	PMOD	O
O	O	889	891	in	in	B-PP	IN	O	11	NMOD	O
O	O	892	895	the	the	B-NP	DT	O	18	NMOD	O
T17	B-Protein	896	898	Rb	Rb	I-NP	NN	B-cell_line	18	NMOD	B-cell_line
O	O	898	899	-	-	B-VP	HYPH	I-cell_line	18	NMOD	I-cell_line
O	O	899	910	transformed	transform	B-NP	VBN	I-cell_line	18	NMOD	I-cell_line
O	O	911	915	cell	cell	I-NP	NN	I-cell_line	18	NMOD	I-cell_line
O	O	916	921	lines	line	I-NP	NNS	I-cell_line	22	NMOD	I-cell_line
O	O	921	922	,	,	O	,	O	22	P	O
T18	B-Protein	923	934	interleukin	interleukin	B-NP	NN	B-protein	22	NMOD	B-protein
T18	I-Protein	935	936	8	8	I-NP	CD	I-protein	22	NMOD	I-protein
O	O	937	947	expression	expression	I-NP	NN	O	12	PMOD	O
O	O	948	950	is	be	B-VP	VBZ	O	0	ROOT	O
O	O	951	957	higher	high	B-ADJP	JJR	O	23	PRD	O
O	O	958	960	in	in	B-PP	IN	O	24	AMOD	O
O	O	961	966	these	these	B-NP	DT	O	28	NMOD	O
O	O	967	971	cell	cell	I-NP	NN	B-cell_line	28	NMOD	B-cell_line
O	O	972	977	lines	line	I-NP	NNS	I-cell_line	25	PMOD	I-cell_line
O	O	977	978	.	.	O	.	O	23	P	O
